 Timestamp,Source,Speed (kn),,Longitude (°),Latitude (°),lon2,lat2,Course (°)
2018-02-09 00:20 (UTC),Terr-AIS,131,,-41.83601,55.00282,,,207
2018-02-09 00:24 (UTC),Terr-AIS,138,,-41.89518,54.94146,,,209
2018-02-09 00:26 (UTC),Terr-AIS,126,,-41.91168,54.92427,,,203
2018-02-09 00:28 (UTC),Terr-AIS,128,,-41.91822,54.91756,,,208
2018-02-09 00:30 (UTC),Terr-AIS,135,,-41.99697,54.83477,,,204
2018-02-09 00:33 (UTC),Terr-AIS,124,,-42.00396,54.82754,,,209
2018-02-09 00:35 (UTC),Terr-AIS,132,,-42.01086,54.82029,,,206
2018-02-09 00:37 (UTC),Terr-AIS,138,,-42.06681,54.76088,,,208
2018-02-09 00:40 (UTC),Terr-AIS,130,,-42.0805,54.74454,,,202
2018-02-09 00:43 (UTC),Terr-AIS,134,,-42.10749,54.71358,,,204
2018-02-09 00:45 (UTC),Terr-AIS,131,,-42.13587,54.67033,,,205
2018-02-09 00:47 (UTC),Terr-AIS,134,,-42.18809,54.59096,,,196
2018-02-09 00:49 (UTC),Terr-AIS,127,,-42.19536,54.58082,,,203
2018-02-09 00:52 (UTC),Terr-AIS,126,,-42.26372,54.49146,,,203
2018-02-09 00:54 (UTC),Terr-AIS,130,,-42.27045,54.48315,,,202
2018-02-09 00:56 (UTC),Terr-AIS,138,,-42.33101,54.40682,,,200
2018-02-09 00:59 (UTC),Terr-AIS,130,,-42.34506,54.38937,,,196
2018-02-09 01:02 (UTC),Terr-AIS,126,,-42.39436,54.3272,,,200
2018-02-09 01:05 (UTC),Terr-AIS,128,,-42.45711,54.23819,,,199
2018-02-09 01:07 (UTC),Terr-AIS,132,,-42.52215,54.13714,,,198
2018-02-09 01:09 (UTC),Terr-AIS,135,,-42.56373,54.0756,,,202
2018-02-09 01:11 (UTC),Terr-AIS,131,,-42.57819,54.05545,,,202
2018-02-09 01:14 (UTC),Terr-AIS,129,,-42.75099,53.80893,,,196
2018-02-09 01:16 (UTC),Terr-AIS,123,,-42.81859,53.69981,,,202
2018-02-09 01:19 (UTC),Terr-AIS,123,,-42.82872,53.68312,,,203
2018-02-09 01:22 (UTC),Terr-AIS,123,,-42.89205,53.57606,,,197
2018-02-09 01:24 (UTC),Terr-AIS,132,,-42.96297,53.45429,,,202
